paintseed,paintwear,rank(all),rank(magzine),rank(top),rank(bottom)
942,0.02165699563920498,1,8,7,54
941,0.009381481446325779,2,2,2,108
423,0.025400130078196526,3,1,3,33
776,0.0033696836326271296,4,65,88,75
590,0.0057706707157194614,5,14,15,60
65,0.0006636874750256538,6,9,10,47
154,0.0045175920240581036,7,11,22,25
984,0.0004559072549454868,8,4,13,1
17,0.018184106796979904,9,3,4,133
871,0.006582454312592745,10,6,9,17
830,0.00341266137547791,11,10,19,30
172,7.831518450984731e-05,12,12,24,27
868,0.0009423737647011876,13,18,21,48
39,0.007609306834638119,14,15,34,24
527,0.0018251354340463877,15,17,8,77
282,0.0026476376224309206,16,20,50,15
251,0.005102903116494417,17,7,27,12
556,0.022357478737831116,18,5,14,4
689,0.0002855432394426316,19,13,47,2
555,0.002267919247969985,20,31,79,5
351,0.003373711369931698,21,19,29,36
456,0.0004989831359125674,22,40,51,79
272,0.0202650036662817,23,16,1,359
317,0.0012868312187492847,24,27,38,65
877,0.036102306097745895,25,67,31,176
680,0.004582283552736044,26,22,55,11
373,0.010362221859395504,27,21,25,58
169,0.0013661017874255776,28,34,42,81
332,0.0005993194645270705,29,35,59,41
358,0.004748322535306215,30,25,39,50
51,0.0024424782022833824,31,47,66,59
472,0.00173033750616014,32,29,63,21
765,0.0033847452141344547,33,36,61,39
968,0.0038120592944324017,34,43,74,32
16,0.004582271911203861,35,26,64,9
738,0.0018601471092551947,36,37,76,14
879,0.0033292185980826616,37,46,84,16
375,0.011565768159925938,38,24,56,18
806,0.005748162977397442,39,30,52,49
815,0.0046381596475839615,40,42,6,141
822,0.00756221916526556,41,33,83,3
468,0.006599347572773695,42,23,44,40
950,0.019733794033527374,43,39,58,45
670,0.001280921627767384,44,59,48,122
743,0.0033553405664861202,45,64,114,8
705,0.008369908668100834,46,41,32,96
290,0.005473809782415628,47,44,68,46
715,0.00541389686986804,48,62,117,6
797,0.01147234532982111,49,48,89,13
966,0.009277347475290298,50,45,65,51
212,0.006774003151804209,51,50,45,105
536,0.01554087270051241,52,38,16,112
816,0.005490039009600878,53,58,99,29
231,0.008778335526585579,54,52,81,43
937,0.014229297637939453,55,49,20,123
646,0.01457619946449995,56,32,53,61
27,0.005662966053932905,57,66,11,216
544,0.016841929405927658,58,53,30,118
60,0.00602089473977685,59,71,49,179
330,0.010284586809575558,60,74,107,78
999,0.00954617653042078,61,61,36,144
528,0.008505288511514664,62,69,12,249
23,0.012150994502007961,63,57,41,126
854,0.018028587102890015,64,63,37,156
7,0.01482157502323389,65,60,101,31
522,0.03254271298646927,66,28,28,80
432,0.012010999955236912,67,77,77,130
101,0.008887512609362602,68,72,18,209
369,0.017286155372858047,69,76,57,187
100,0.015603533014655113,70,56,23,162
913,0.025056736543774605,71,54,80,53
61,0.015923501923680305,72,75,111,73
929,0.0017052011098712683,73,93,180,7
751,0.004674294963479042,74,88,141,62
144,0.018027912825345993,75,68,93,69
587,0.0024912268854677677,76,94,138,84
998,0.020056890323758125,77,70,62,125
402,0.006817322224378586,78,105,92,219
725,0.02805025316774845,79,51,46,104
837,0.007893952541053295,80,99,165,42
1,0.010397417470812798,81,85,75,191
975,0.014930357225239277,82,78,122,67
11,0.03401642665266991,83,55,60,94
902,0.013502908870577812,84,90,140,68
8,0.018355397507548332,85,80,95,109
3,0.01998754031956196,86,84,26,301
126,0.009440668858587742,87,100,85,240
907,0.001172041753306985,88,107,149,98
780,0.0068769617937505245,89,115,207,26
754,0.01591319590806961,90,95,144,83
253,0.02635536529123783,91,73,67,138
520,0.0030676175374537706,92,109,158,89
72,0.010692098177969456,93,106,170,63
188,0.021943354979157448,94,79,73,154
862,0.017689375206828117,95,87,137,66
650,0.022456418722867966,96,83,112,91
230,0.013000702485442162,97,101,192,20
770,0.02260105311870575,98,89,145,57
564,0.004539084620773792,99,124,129,161
167,0.011460495181381702,100,122,203,38
706,0.029326792806386948,101,81,72,157
388,0.027845000848174095,102,82,35,261
442,0.007890259847044945,103,114,200,34
217,0.020009711384773254,104,96,139,87
53,0.013980708085000515,105,104,172,52
976,0.022102726623415947,106,86,135,70
350,0.02864961512386799,107,91,17,352
932,0.002292293356731534,108,142,169,121
821,0.01421517413109541,109,127,190,71
700,0.019315317273139954,110,120,182,76
494,0.022305285558104515,111,111,82,287
195,0.019455958157777786,112,137,211,37
377,0.01735886186361313,113,113,147,113
863,0.017099104821681976,114,110,179,56
802,0.03703723102807999,115,97,5,432
658,0.026826290413737297,116,125,110,230
279,0.014774917624890804,117,136,217,19
236,0.02024896629154682,118,118,106,220
75,0.021517936140298843,119,117,164,86
914,0.021110443398356438,120,112,178,64
958,0.02391740493476391,121,126,142,132
835,0.027941882610321045,122,103,143,99
915,0.0019122464582324028,123,158,229,74
801,0.016131529584527016,124,162,255,23
731,0.017686698585748672,125,139,125,218
543,0.01255186740309,126,152,131,284
264,0.03207537159323692,127,134,171,101
166,0.02677423134446144,128,119,43,398
298,0.015541465021669865,129,151,118,309
851,0.02430972084403038,130,132,69,355
588,0.03683449700474739,131,143,199,93
884,0.02699190005660057,132,141,134,202
484,0.021595854312181473,133,133,54,400
104,0.04136306047439575,134,131,121,206
905,0.0010267974575981498,135,188,262,72
239,0.03952012583613396,136,140,33,464
820,0.019462786614894867,137,157,154,224
773,0.031695663928985596,138,135,104,276
168,0.013679726049304008,139,176,205,203
617,0.03289242833852768,140,108,90,246
903,0.026654018089175224,141,129,127,185
526,0.04056756570935249,142,116,78,296
147,0.038431715220212936,143,123,115,198
425,0.04795164614915848,144,92,40,313
476,0.017262665554881096,145,146,231,35
631,0.03806150704622269,146,121,132,151
571,0.014607541263103485,147,170,201,168
826,0.015617595985531807,148,169,176,214
910,0.015621655620634556,149,189,209,226
50,0.01521221548318863,150,185,184,282
752,0.028946824371814728,151,145,105,331
782,0.029421508312225342,152,148,71,429
440,0.018957357853651047,153,155,162,200
711,0.021301329135894775,154,167,157,266
209,0.04357520863413811,155,144,161,147
153,0.03961658105254173,156,102,119,139
704,0.008934094570577145,157,183,238,114
77,0.020192746073007584,158,154,128,291
486,0.01982547529041767,159,159,221,88
416,0.02340051531791687,160,149,194,120
967,0.03929470479488373,161,147,204,107
459,0.027727855369448662,162,165,196,174
749,0.043808307498693466,163,98,113,136
227,0.02162633091211319,164,175,133,362
392,0.030041826888918877,165,156,152,232
192,0.03841882199048996,166,161,91,423
322,0.042472824454307556,167,128,136,155
832,0.032908350229263306,168,171,120,377
925,0.02290111407637596,169,177,150,329
194,0.047590818256139755,170,130,102,262
304,0.032865677028894424,171,173,206,195
460,0.04114623740315437,172,138,146,160
948,0.02069874480366707,173,191,269,55
124,0.02523154392838478,174,182,94,491
717,0.028156133368611336,175,192,181,297
971,0.042216263711452484,176,160,108,383
302,0.03352544084191322,177,174,87,486
59,0.019123651087284088,178,199,257,97
482,0.043027363717556,179,153,70,441
577,0.014758811332285404,180,204,245,140
825,0.04360174760222435,181,168,167,237
229,0.02076892741024494,182,203,292,22
977,0.04272521659731865,183,193,166,319
9,0.041111793369054794,184,186,189,268
215,0.027026567608118057,185,195,163,333
307,0.03477364033460617,186,172,168,256
283,0.04402611777186394,187,263,254,392
726,0.049757711589336395,188,163,185,190
438,0.033988580107688904,189,166,98,416
513,0.04707116261124611,190,150,109,343
641,0.018044976517558098,191,216,308,28
911,0.04550563171505928,192,179,202,223
790,0.03400222584605217,193,201,224,186
730,0.042465727776288986,194,190,159,344
880,0.047270290553569794,195,164,116,357
534,0.037479568272829056,196,196,193,286
593,0.04465065151453018,197,200,151,384
973,0.03869348019361496,198,209,213,274
12,0.03930111974477768,199,181,148,353
445,0.030139358714222908,200,212,195,356
757,0.04612094536423683,201,180,100,474
427,0.03205948695540428,202,202,219,208
485,0.0476154200732708,203,184,187,270
213,0.042907316237688065,204,187,186,273
667,0.024693138897418976,205,227,275,183
127,0.04120727255940437,206,207,247,149
987,0.040511153638362885,207,220,214,323
149,0.0370628796517849,208,213,239,197
814,0.04232010245323181,209,206,177,349
747,0.05066016688942909,210,194,212,207
935,0.03914448991417885,211,214,126,506
202,0.044486481696367264,212,198,96,502
453,0.049688950181007385,213,178,130,386
186,0.04048094525933266,214,210,174,387
580,0.009404134936630726,215,249,278,260
970,0.01652783527970314,216,258,287,269
204,0.02012355998158455,217,241,291,164
207,0.027106614783406258,218,222,260,192
718,0.03602498024702072,219,217,263,145
223,0.02553546614944935,220,233,304,103
630,0.028722437098622322,221,243,279,222
777,0.04216615855693817,222,197,222,172
500,0.035572394728660583,223,208,242,169
939,0.026128645986318588,224,232,226,338
391,0.03820689395070076,225,219,123,535
668,0.022259719669818878,226,236,227,367
567,0.023526974022388458,227,235,348,10
956,0.02450525388121605,228,245,343,44
569,0.03171283006668091,229,229,160,498
150,0.04402083158493042,230,215,253,173
294,0.03851867839694023,231,211,155,434
531,0.013222508132457733,232,261,332,102
954,0.047258879989385605,233,205,86,550
156,0.03953523933887482,234,230,153,516
408,0.03877738118171692,235,223,288,116
578,0.04346724599599838,236,234,208,436
657,0.03746040165424347,237,254,220,462
32,0.029288511723279953,238,238,270,244
324,0.03769725561141968,239,221,241,235
406,0.03628172352910042,240,228,296,115
249,0.04735082387924194,241,224,156,496
740,0.0456780269742012,242,225,183,448
804,0.03740189969539642,243,244,216,428
857,0.03329727053642273,244,237,197,482
455,0.045625850558280945,245,218,218,308
132,0.040567439049482346,246,239,274,233
923,0.022220749408006668,247,257,267,328
99,0.026707042008638382,248,256,316,137
48,0.039079636335372925,249,226,225,316
741,0.040879033505916595,250,240,232,361
318,0.03832719102501869,251,248,173,537
94,0.029861005023121834,252,268,309,211
475,0.04163666069507599,253,255,312,150
200,0.04377661645412445,254,242,272,245
748,0.04414840787649155,255,246,228,396
729,0.03453117981553078,256,259,277,304
778,0.02005430869758129,257,287,347,158
337,0.04326105862855911,258,247,236,382
495,0.03490636125206947,259,267,325,143
256,0.02385769411921501,260,288,306,299
243,0.026972996070981026,261,283,327,212
190,0.024528374895453453,262,294,331,213
959,0.04452303797006607,263,265,299,248
843,0.051282644271850586,264,251,103,613
46,0.021304793655872345,265,304,394,92
875,0.038847263902425766,266,274,310,227
727,0.02702058106660843,267,285,342,167
720,0.0415213443338871,268,282,215,551
191,0.04026712849736214,269,300,326,267
589,0.03169332817196846,270,296,360,135
478,0.04227854683995247,271,252,307,146
894,0.04764381796121597,272,250,233,409
733,0.04267364367842674,273,264,223,472
557,0.039675526320934296,274,276,303,285
846,0.05072741582989693,275,260,124,602
503,0.04130508378148079,276,278,244,470
504,0.060680169612169266,277,231,175,479
983,0.03479843959212303,278,301,294,393
568,0.045024652034044266,279,286,237,508
115,0.04064904898405075,280,281,282,363
30,0.04120879992842674,281,293,285,394
756,0.03949149698019028,282,284,271,421
95,0.041557300835847855,283,277,249,463
662,0.04699017107486725,284,269,314,189
669,0.03053179942071438,285,323,396,159
364,0.038299303501844406,286,298,301,351
111,0.04226221516728401,287,295,315,283
492,0.0548827163875103,288,262,243,411
1000,0.04180268943309784,289,306,276,469
810,0.04661277309060097,290,275,248,460
540,0.02518029510974884,291,330,412,119
517,0.057828404009342194,292,253,191,526
988,0.0560637041926384,293,266,188,560
105,0.04761737957596779,294,291,286,389
524,0.05268022045493126,295,280,235,499
575,0.021718546748161316,296,334,434,82
758,0.040224477648735046,297,316,376,142
891,0.04789704456925392,298,273,280,346
352,0.04837240278720856,299,303,250,530
594,0.0501403771340847,300,272,246,446
181,0.03646060824394226,301,310,293,435
28,0.045052848756313324,302,309,335,280
761,0.04988749697804451,303,271,265,365
419,0.034154850989580154,304,321,397,148
471,0.04200497642159462,305,302,318,303
681,0.0241919606924057,306,340,334,419
539,0.038525693118572235,307,308,322,317
218,0.0426296591758728,308,313,384,128
742,0.05240769684314728,309,270,97,626
349,0.04262560233473778,310,314,349,271
206,0.0445546954870224,311,299,313,302
824,0.04645676165819168,312,290,261,456
899,0.049504730850458145,313,318,305,439
684,0.028467906638979912,314,348,311,519
130,0.039027269929647446,315,405,461,152
501,0.05927937850356102,316,289,266,437
848,0.04760861024260521,317,292,351,163
855,0.04734122008085251,318,312,300,420
315,0.04119829088449478,319,324,234,593
248,0.04030473530292511,320,331,389,215
696,0.01911136507987976,321,362,446,100
767,0.050058092921972275,322,307,198,607
161,0.03717052936553955,323,341,371,307
609,0.017571495845913887,324,379,418,253
405,0.02462843991816044,325,344,390,289
844,0.0518697053194046,326,279,252,452
627,0.043645258992910385,327,317,259,556
233,0.02856786549091339,328,361,426,165
893,0.042370833456516266,329,315,289,478
165,0.04180346429347992,330,430,462,257
605,0.026008816435933113,331,358,419,184
606,0.02246619015932083,332,367,403,293
521,0.037954069674015045,333,338,370,294
944,0.04053144156932831,334,327,346,348
964,0.04083934426307678,335,326,330,395
477,0.042636338621377945,336,342,372,327
342,0.025767432525753975,337,365,444,111
499,0.06058123707771301,338,311,273,497
62,0.05833366513252258,339,297,230,544
612,0.04601440206170082,340,339,393,239
116,0.04439050331711769,341,322,298,487
148,0.03846914693713188,342,346,345,426
585,0.031584445387125015,343,360,336,480
714,0.05444328859448433,344,305,251,524
813,0.042930491268634796,345,333,344,381
892,0.039840005338191986,346,336,373,281
117,0.046224355697631836,347,356,405,264
775,0.04005228728055954,348,363,354,458
155,0.029089126735925674,349,382,391,385
429,0.03698406741023064,350,350,400,258
945,0.04386638477444649,351,329,317,438
507,0.0379059873521328,352,351,417,182
210,0.037317126989364624,353,352,407,234
329,0.03654050827026367,354,357,381,339
622,0.051648471504449844,355,349,382,311
81,0.04484445974230766,356,345,353,414
642,0.053967878222465515,357,325,240,586
611,0.031065545976161957,358,383,387,397
881,0.04724227264523506,359,376,337,513
228,0.03372502326965332,360,387,457,95
463,0.04342157021164894,361,373,440,134
921,0.04069295525550842,362,371,367,422
393,0.04144171252846718,363,386,395,388
691,0.04500865191221237,364,380,368,431
938,0.043821536004543304,365,347,284,576
141,0.03998143970966339,366,399,470,106
873,0.034769583493471146,367,388,386,410
708,0.03660457581281662,368,381,404,320
255,0.04610724374651909,369,370,339,504
842,0.06434410065412521,370,320,210,614
296,0.039155013859272,371,392,365,483
131,0.05039530619978905,372,355,375,354
990,0.04724845290184021,373,353,321,510
469,0.04404451698064804,374,369,333,509
197,0.0441424585878849,375,403,415,378
260,0.04020143672823906,376,378,364,450
972,0.043812356889247894,377,366,290,585
418,0.048332538455724716,378,374,357,466
170,0.05480489507317543,379,332,356,340
409,0.0364149808883667,380,393,362,501
664,0.043177828192710876,381,398,441,217
549,0.05709058791399002,382,335,258,584
411,0.04653719440102577,383,375,366,433
919,0.043043412268161774,384,395,319,577
225,0.04993847757577896,385,354,410,236
745,0.043464962393045425,386,390,429,250
683,0.041559550911188126,387,415,380,538
325,0.06207463517785072,388,328,302,493
270,0.05797169357538223,389,359,283,588
596,0.0533829964697361,390,364,416,225
33,0.033915501087903976,391,445,477,194
413,0.044440921396017075,392,396,352,534
211,0.026935221627354622,393,420,454,259
529,0.04289570078253746,394,391,445,166
98,0.042775869369506836,395,397,369,495
686,0.043276481330394745,396,409,433,324
246,0.04518255963921547,397,401,464,127
106,0.02482737973332405,398,440,425,459
110,0.05987713113427162,399,319,350,305
545,0.04060055688023567,400,407,401,445
466,0.03650199621915817,401,416,413,444
554,0.039891500025987625,402,410,447,265
997,0.0439600795507431,403,424,450,314
723,0.06290043145418167,404,377,281,606
185,0.054552819579839706,405,372,328,531
280,0.04156637564301491,406,417,423,403
514,0.03882559761404991,407,446,438,427
41,0.036557771265506744,408,437,424,447
559,0.045480914413928986,409,423,463,231
263,0.04336259886622429,410,427,437,373
616,0.04092756658792496,411,438,456,306
276,0.0463540256023407,412,419,377,547
488,0.05657828599214554,413,384,323,555
793,0.06329836696386337,414,337,340,404
314,0.04408072307705879,415,406,361,554
978,0.04520292952656746,416,402,436,288
125,0.05393116548657417,417,418,297,629
510,0.03492683917284012,418,459,472,300
673,0.050418656319379807,419,404,422,342
656,0.04189839959144592,420,439,452,341
70,0.04071631282567978,421,412,363,565
841,0.06643096357584,422,343,320,490
858,0.05983749404549599,423,389,341,536
635,0.04384789988398552,424,428,449,330
114,0.04653482139110565,425,454,481,229
382,0.05750167742371559,426,385,264,620
833,0.03188734129071236,427,467,459,453
695,0.04463779553771019,428,447,458,326
42,0.04816211014986038,429,421,409,465
347,0.04202105477452278,430,436,495,110
66,0.0376875139772892,431,458,421,541
601,0.0696389451622963,432,368,355,457
305,0.04315868765115738,433,453,482,221
26,0.05587902292609215,434,432,414,481
232,0.04116429015994072,435,449,503,124
771,0.027816016227006912,436,471,507,228
381,0.045620858669281006,437,434,378,569
926,0.03609799966216087,438,472,521,171
562,0.037746962159872055,439,457,474,292
5,0.048650678247213364,440,443,399,557
451,0.04990404471755028,441,422,383,540
183,0.03847942128777504,442,468,473,379
982,0.04273056983947754,443,460,489,247
241,0.045362502336502075,444,451,468,322
961,0.06489774584770203,445,408,358,558
257,0.03670395910739899,446,485,494,345
278,0.062027301639318466,447,413,385,521
713,0.06501615792512894,448,411,329,595
261,0.04354700818657875,449,455,471,318
385,0.0393177755177021,450,477,517,199
550,0.06148809939622879,451,514,514,425
287,0.043572064489126205,452,461,430,532
834,0.04587007313966751,453,448,496,131
994,0.04894840344786644,454,456,406,567
397,0.04172584414482117,455,466,466,415
383,0.038800518959760666,456,484,551,90
755,0.04669927433133125,457,475,465,455
865,0.05865209922194481,458,452,442,443
643,0.04569793865084648,459,479,469,449
904,0.04547617584466934,460,538,571,290
346,0.06705275923013687,461,394,295,603
744,0.05769239738583565,462,426,402,507
247,0.03876402974128723,463,473,492,315
576,0.03898400813341141,464,489,533,201
189,0.03860785812139511,465,480,487,366
284,0.06276770681142807,466,441,408,520
916,0.04860735684633255,467,474,508,242
74,0.040374066680669785,468,490,529,210
584,0.047214288264513016,469,470,455,492
739,0.05832472816109657,470,433,338,609
805,0.06285157054662704,471,431,460,263
882,0.06887178122997284,472,414,374,545
113,0.05582531914114952,473,444,478,180
675,0.062403347343206406,474,429,379,561
390,0.04570486769080162,475,464,511,193
586,0.06654475629329681,476,425,398,525
666,0.049474265426397324,477,478,479,360
497,0.042868055403232574,478,493,475,442
712,0.05801349878311157,479,450,324,632
651,0.04662974551320076,480,502,535,278
809,0.05534753575921059,481,476,392,619
226,0.02958553656935692,482,503,483,488
506,0.058408573269844055,483,462,435,511
37,0.042538296431303024,484,497,527,279
946,0.03458070382475853,485,507,547,204
135,0.06950398534536362,486,400,256,638
433,0.0606062151491642,487,442,448,372
763,0.04809070751070976,488,487,541,117
570,0.04701526090502739,489,498,485,461
753,0.04561914876103401,490,494,524,275
176,0.05283542349934578,491,469,411,591
321,0.04924769699573517,492,492,506,325
535,0.04894183576107025,493,504,532,298
266,0.04416228085756302,494,499,546,170
792,0.04749322682619095,495,482,530,177
370,0.04875098168849945,496,508,575,85
800,0.0374334417283535,497,521,528,418
636,0.05785384401679039,498,465,453,471
56,0.0504881851375103,499,488,427,594
407,0.044770460575819016,500,505,549,196
328,0.04423514008522034,501,500,516,337
118,0.05771062895655632,502,486,498,334
449,0.0486559197306633,503,511,480,529
178,0.05066908150911331,504,506,518,358
648,0.038240350782871246,505,525,564,255
519,0.049533162266016006,506,510,486,518
537,0.05777725577354431,507,483,420,592
920,0.050263065844774246,508,523,525,430
146,0.04592839628458023,509,529,553,312
378,0.0696779265999794,510,435,268,643
518,0.04091854393482208,511,528,537,391
563,0.03937090188264847,512,534,543,405
498,0.05052008107304573,513,517,510,467
88,0.03969144448637962,514,518,559,241
634,0.053017087280750275,515,509,500,440
171,0.06281386315822601,516,463,388,608
10,0.04605851694941521,517,526,578,129
92,0.061214230954647064,518,495,428,604
808,0.06145773455500603,519,481,431,580
511,0.046907939016819,520,532,526,484
289,0.059593565762043,521,496,451,574
274,0.03810034692287445,522,547,577,277
552,0.04178925231099129,523,549,567,369
838,0.041011206805706024,524,536,583,153
624,0.037855856120586395,525,542,522,528
625,0.04749130457639694,526,533,550,364
112,0.04744178429245949,527,539,552,390
343,0.04736533388495445,528,555,591,181
940,0.06371775269508362,529,491,359,642
933,0.05155567824840546,530,519,558,251
735,0.036160122603178024,531,557,570,408
819,0.04329349845647812,532,537,542,413
750,0.039753206074237823,533,535,504,559
928,0.05516348034143448,534,515,513,454
262,0.04346600919961929,535,550,538,505
179,0.04679843783378601,536,548,515,566
823,0.05302583426237106,537,530,519,489
599,0.043036237359046936,538,546,554,417
138,0.058364469558000565,539,543,502,581
992,0.04024647921323776,540,556,579,310
109,0.05373435467481613,541,516,432,630
677,0.04390415921807289,542,554,557,451
628,0.04866721108555794,543,531,544,380
836,0.049043022096157074,544,552,587,205
573,0.045039959251880646,545,559,576,376
490,0.06289702653884888,546,513,439,615
769,0.062317222356796265,547,520,491,542
515,0.06292446702718735,548,527,476,578
187,0.06446918845176697,549,540,501,572
508,0.04705926030874252,550,570,580,424
67,0.06657744944095612,551,512,488,517
344,0.0696583241224289,552,501,534,272
267,0.047738391906023026,553,564,509,611
145,0.0475241020321846,554,558,593,178
491,0.06284491717815399,555,524,539,368
443,0.046852342784404755,556,563,536,571
205,0.05987372249364853,557,551,490,610
685,0.04672573506832123,558,562,597,175
789,0.058731887489557266,559,561,573,402
737,0.04829404875636101,560,574,601,254
158,0.05439915880560875,561,569,584,350
852,0.04564100503921509,562,572,563,543
489,0.050838861614465714,563,567,592,243
633,0.0629633441567421,564,544,443,641
177,0.06895075738430023,565,522,484,562
583,0.06477828323841095,566,553,566,407
299,0.06275348365306854,567,560,555,500
470,0.048921775072813034,568,587,605,347
83,0.05129772052168846,569,576,574,503
303,0.05807669833302498,570,582,594,371
45,0.06964816898107529,571,541,467,622
365,0.06681504845619202,572,565,523,590
356,0.06531468778848648,573,568,505,621
140,0.06827151030302048,574,545,499,583
64,0.06447885185480118,575,566,556,514
845,0.05798787623643875,576,584,531,628
52,0.06238258257508278,577,578,562,573
91,0.0612296462059021,578,573,493,636
323,0.05118095502257347,579,585,611,252
49,0.058855414390563965,580,589,609,336
96,0.049915678799152374,581,592,616,335
692,0.06077825650572777,582,580,520,631
874,0.06110344082117081,583,575,540,601
152,0.06017391011118889,584,577,548,587
2,0.04150187969207764,585,601,619,399
602,0.05913212522864342,586,591,612,321
134,0.06599064916372299,587,579,512,634
889,0.06301974505186081,588,588,589,523
157,0.06839492172002792,589,612,627,332
653,0.05217939242720604,590,597,598,522
629,0.052782028913497925,591,596,623,238
579,0.06170319765806198,592,586,586,512
798,0.06874029338359833,593,571,561,553
829,0.04791746661067009,594,600,615,412
309,0.05200637876987457,595,594,625,188
760,0.06280573457479477,596,583,568,575
361,0.0656263530254364,597,581,560,582
774,0.05409536138176918,598,595,603,494
84,0.058249298483133316,599,602,588,596
930,0.049206044524908066,600,610,614,515
376,0.06986897438764572,601,590,497,645
672,0.04934981092810631,602,613,608,564
980,0.059034425765275955,603,599,607,476
759,0.05939728766679764,604,598,581,599
960,0.05862994119524956,605,608,602,570
341,0.05747191235423088,606,603,572,635
890,0.06038420647382736,607,605,582,623
31,0.06181744486093521,608,616,618,527
840,0.05289843678474426,609,618,595,617
908,0.0699312835931778,610,593,545,637
496,0.06053755059838295,611,606,590,600
927,0.06166895851492882,612,615,599,598
787,0.06942574679851532,613,604,606,533
436,0.0516556091606617,614,626,621,579
417,0.06960000842809677,615,614,565,644
399,0.043946534395217896,616,630,624,563
856,0.06542045623064041,617,607,569,640
422,0.06984008103609085,618,609,596,589
909,0.05975177139043808,619,624,604,627
242,0.05191868171095848,620,628,636,406
386,0.059077903628349304,621,627,613,605
962,0.06955704092979431,622,611,620,477
621,0.0652480348944664,623,617,622,473
291,0.06941010802984238,624,620,600,616
572,0.06589626520872116,625,622,634,370
25,0.06055200845003128,626,621,637,295
679,0.049580615013837814,627,634,632,546
102,0.05803055688738823,628,623,635,374
623,0.05799352750182152,629,632,628,568
660,0.061491988599300385,630,625,630,485
592,0.06716395914554596,631,619,585,639
252,0.0629923865199089,632,631,610,624
462,0.06841656565666199,633,629,626,548
357,0.05467724800109863,634,635,638,375
465,0.06901679188013077,635,633,617,625
163,0.051874905824661255,636,638,631,618
193,0.060975849628448486,637,637,633,597
876,0.06784410774707794,638,636,629,612
614,0.06211799383163452,639,639,639,475
746,0.05952319875359535,640,640,643,401
320,0.048589058220386505,641,642,642,552
512,0.06478636711835861,642,641,641,539
665,0.059528931975364685,643,643,644,549
694,0.06831930577754974,644,645,640,633
13,0.06937303394079208,645,644,645,468
